Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
37.6,75.5,62.9,Loamy,Cotton,6,26,16,Urea
35.8,75.5,36.5,Red,Ground Nuts,11,7,29,14-35-14
25.2,80.9,40.0,Red,Tobacco,19,6,19,20-20
27.3,78.2,66.6,Loamy,Wheat,22,37,27,10-26-26
37.7,61.8,65.4,Red,Ground Nuts,12,16,21,Urea
22.6,64.8,39.9,Clayey,Paddy,25,43,32,10-26-26
28.2,63.8,36.0,Clayey,Sugarcane,32,38,5,DAP
33.5,72.1,53.8,Clayey,Ground Nuts,28,9,32,14-35-14
27.0,77.4,55.9,Black,Pulses,24,24,37,20-20
28.4,49.8,30.5,Red,Barley,31,16,29,17-17-17
28.5,76.7,38.1,Clayey,Paddy,18,42,32,10-26-26
27.2,57.1,54.1,Clayey,Ground Nuts,37,15,35,20-20
30.2,66.6,39.4,Sandy,Paddy,20,19,24,20-20
22.4,47.2,45.4,Loamy,Cotton,9,31,34,Urea
33.5,54.2,42.2,Clayey,Tobacco,14,11,5,10-26-26
24.8,82.9,47.3,Red,Tobacco,8,20,40,Urea
24.1,58.2,47.8,Sandy,Millets,40,25,43,10-26-26
35.0,79.6,43.3,Red,Pulses,40,15,33,20-20
26.1,47.4,52.4,Red,Millets,38,45,36,10-26-26
29.0,70.7,35.1,Loamy,Paddy,26,39,25,10-26-26
24.4,54.2,31.6,Sandy,Cotton,18,31,9,DAP
30.7,55.8,33.9,Red,Barley,31,42,29,10-26-26
28.1,35.3,40.1,Sandy,Pulses,29,39,31,10-26-26
36.4,59.4,36.7,Clayey,Pulses,36,29,6,DAP
32.9,55.2,32.1,Black,Ground Nuts,34,44,13,DAP
36.5,64.6,53.5,Clayey,Maize,10,13,32,14-35-14
22.8,54.0,34.1,Red,Cotton,25,29,26,20-20
26.0,39.1,25.8,Black,Wheat,39,27,8,DAP
23.1,82.9,26.7,Loamy,Ground Nuts,6,17,20,Urea
24.4,41.3,53.8,Sandy,Pulses,41,34,18,20-20
24.7,65.4,57.2,Black,Barley,12,24,15,Urea
22.4,50.6,54.1,Sandy,Pulses,29,17,30,Urea
25.9,69.9,38.0,Clayey,Ground Nuts,43,41,12,DAP
30.5,68.1,28.0,Sandy,Barley,26,31,5,DAP
28.9,53.1,63.3,Red,Sugarcane,34,32,14,DAP
37.4,48.5,59.8,Loamy,Oil seeds,39,34,35,20-20
26.3,77.6,60.7,Red,Pulses,10,33,22,Urea
31.1,68.4,39.5,Loamy,Millets,36,16,25,28-28
34.8,52.0,62.9,Loamy,Barley,22,5,40,14-35-14
23.4,71.0,46.0,Clayey,Tobacco,20,36,35,10-26-26
23.5,46.1,54.7,Red,Maize,24,28,42,10-26-26
30.5,56.3,57.1,Red,Oil seeds,26,34,27,10-26-26
26.0,41.0,33.3,Black,Paddy,12,16,39,Urea
33.8,48.8,50.4,Loamy,Tobacco,38,23,43,Urea
25.6,44.0,25.6,Loamy,Paddy,39,22,13,DAP
30.9,69.9,30.4,Sandy,Maize,36,5,11,DAP
29.5,57.0,32.9,Clayey,Paddy,8,35,21,Urea
28.4,38.7,52.1,Sandy,Sugarcane,8,14,14,10-26-26
23.4,47.4,49.0,Clayey,Paddy,31,43,43,10-26-26
34.4,54.0,64.1,Clayey,Tobacco,24,32,42,10-26-26
31.9,65.5,56.8,Black,Pulses,18,18,45,14-35-14
25.8,62.6,31.7,Sandy,Cotton,31,43,33,10-26-26
22.5,49.4,37.2,Red,Paddy,34,19,9,DAP
31.4,75.2,33.5,Black,Ground Nuts,12,19,39,Urea
35.2,38.6,32.1,Loamy,Paddy,24,41,43,10-26-26
24.0,69.4,55.1,Black,Millets,22,39,37,10-26-26
23.3,37.0,43.6,Red,Millets,25,21,43,Urea
37.4,76.8,49.7,Sandy,Tobacco,6,41,22,Urea
29.5,67.6,64.4,Sandy,Cotton,16,32,42,10-26-26
29.5,55.4,38.8,Red,Sugarcane,11,26,15,Urea
26.6,82.3,60.0,Red,Millets,40,34,7,DAP
26.0,40.8,58.2,Sandy,Barley,37,39,5,DAP
22.9,60.9,51.8,Red,Wheat,36,33,45,10-26-26
26.3,41.6,37.4,Sandy,Tobacco,36,6,12,DAP
33.4,50.5,25.6,Clayey,Tobacco,31,19,10,DAP
37.2,67.4,31.6,Sandy,Millets,23,22,37,28-28
25.9,62.6,41.5,Red,Millets,43,13,37,14-35-14
34.4,77.7,39.6,Sandy,Paddy,37,5,22,14-35-14
31.3,68.0,62.2,Black,Pulses,33,35,39,10-26-26
30.8,62.2,44.6,Black,Barley,25,20,17,17-17-17
35.7,55.5,38.7,Red,Tobacco,35,29,29,10-26-26
37.4,41.3,66.5,Loamy,Millets,26,33,11,DAP
36.6,35.8,31.2,Sandy,Oil seeds,14,35,9,10-26-26
32.0,54.9,28.5,Black,Barley,26,29,39,10-26-26
33.5,73.0,62.5,Black,Ground Nuts,7,9,44,14-35-14
33.0,49.4,34.8,Loamy,Ground Nuts,10,11,32,14-35-14
24.7,50.0,26.2,Sandy,Millets,25,23,8,DAP
28.9,47.2,42.7,Black,Barley,16,16,15,17-17-17
35.9,66.0,35.4,Sandy,Pulses,42,19,14,DAP
26.1,47.8,25.4,Red,Ground Nuts,34,39,23,10-26-26
29.1,52.3,50.3,Loamy,Sugarcane,45,21,32,28-28
38.0,77.7,29.6,Black,Tobacco,29,27,41,10-26-26
37.9,49.8,67.1,Clayey,Paddy,30,5,22,17-17-17
33.9,76.6,63.8,Sandy,Pulses,19,27,43,10-26-26
25.0,47.5,57.5,Loamy,Ground Nuts,13,11,45,14-35-14
34.6,36.7,40.7,Sandy,Paddy,13,23,10,14-35-14
25.2,74.3,62.7,Red,Cotton,28,37,38,10-26-26
26.1,76.2,45.7,Black,Cotton,23,12,26,14-35-14
24.3,83.3,62.0,Red,Sugarcane,30,28,40,10-26-26
22.2,61.8,44.6,Sandy,Wheat,21,29,42,10-26-26
32.8,58.6,51.6,Black,Sugarcane,40,44,25,10-26-26
23.0,76.2,64.1,Loamy,Ground Nuts,24,12,31,14-35-14
37.1,50.2,46.2,Loamy,Maize,11,39,20,Urea
29.3,68.5,57.0,Loamy,Wheat,39,42,31,10-26-26
32.5,76.7,51.5,Loamy,Wheat,22,28,7,DAP
29.1,46.8,40.6,Loamy,Millets,28,27,39,10-26-26
26.4,83.4,65.8,Sandy,Wheat,34,18,10,DAP
22.8,51.7,67.5,Clayey,Maize,41,9,18,10-26-26
31.4,75.7,35.0,Clayey,Tobacco,14,5,43,14-35-14
37.8,62.0,59.3,Black,Cotton,12,13,6,Urea
31.4,35.8,36.4,Black,Tobacco,13,38,31,Urea
29.6,73.9,47.1,Sandy,Sugarcane,11,37,33,Urea
22.7,74.2,62.3,Loamy,Pulses,38,34,24,10-26-26
38.0,77.4,43.3,Sandy,Maize,11,33,36,Urea
27.2,42.4,30.4,Sandy,Sugarcane,44,42,45,20-20
28.1,64.9,37.7,Clayey,Barley,37,32,43,10-26-26
35.6,67.5,58.1,Sandy,Sugarcane,18,33,32,10-26-26
27.4,57.7,42.9,Loamy,Wheat,11,32,25,Urea
26.1,82.7,54.5,Black,Ground Nuts,35,10,9,DAP
28.9,72.2,41.0,Sandy,Sugarcane,13,8,40,14-35-14
31.0,68.5,42.7,Clayey,Oil seeds,32,23,8,DAP
27.6,63.9,34.1,Clayey,Paddy,35,11,19,14-35-14
23.8,48.9,34.7,Clayey,Barley,32,44,40,10-26-26
32.3,36.3,65.0,Clayey,Ground Nuts,22,16,6,DAP
36.7,52.6,32.8,Black,Paddy,14,30,41,Urea
33.9,83.6,28.9,Sandy,Cotton,38,29,18,28-28
24.5,50.6,38.9,Red,Barley,41,10,43,14-35-14
24.5,65.9,54.0,Sandy,Cotton,22,32,33,10-26-26
29.1,48.7,57.5,Red,Pulses,12,32,27,Urea
32.9,64.7,47.7,Sandy,Paddy,24,19,7,DAP
22.9,45.2,65.6,Red,Pulses,13,23,21,Urea
22.1,72.4,32.6,Black,Sugarcane,29,19,39,17-17-17
34.9,38.6,62.1,Clayey,Ground Nuts,7,6,32,14-35-14
35.8,63.8,49.7,Red,Sugarcane,45,23,31,Urea
37.5,43.6,65.7,Red,Maize,34,10,28,14-35-14
25.9,64.4,47.5,Red,Sugarcane,30,26,24,10-26-26
34.5,38.8,52.2,Loamy,Barley,38,17,37,10-26-26
33.6,75.9,60.0,Black,Barley,20,14,11,DAP
24.8,42.6,57.6,Black,Tobacco,9,45,16,Urea
34.1,73.0,44.3,Red,Millets,41,44,45,20-20
27.1,57.0,45.2,Black,Ground Nuts,45,22,24,17-17-17
30.1,50.5,44.4,Sandy,Barley,8,23,28,Urea
35.8,77.8,51.4,Sandy,Ground Nuts,37,34,29,10-26-26
37.3,71.9,26.8,Clayey,Oil seeds,41,25,17,17-17-17
24.4,38.1,29.5,Red,Oil seeds,26,37,10,DAP
26.0,56.9,43.9,Loamy,Maize,38,15,44,14-35-14
28.2,73.7,54.2,Black,Paddy,8,26,45,Urea
23.5,68.9,37.2,Sandy,Barley,43,26,14,DAP
32.6,80.8,38.3,Sandy,Pulses,30,43,13,DAP
30.9,67.2,39.1,Sandy,Paddy,13,10,38,14-35-14
27.8,53.1,32.8,Red,Oil seeds,18,36,26,10-26-26
38.0,42.7,37.7,Loamy,Tobacco,11,39,37,Urea
32.6,78.8,51.6,Clayey,Maize,43,14,29,14-35-14
35.3,73.6,59.8,Loamy,Cotton,15,7,33,14-35-14
32.8,46.9,44.1,Red,Barley,23,19,33,17-17-17
37.4,74.2,63.9,Loamy,Paddy,17,41,28,10-26-26
34.3,73.9,46.6,Red,Millets,31,17,15,10-26-26
36.0,37.6,45.7,Clayey,Cotton,28,11,40,14-35-14
26.6,73.2,36.7,Clayey,Sugarcane,37,32,14,DAP
35.1,79.2,65.0,Sandy,Tobacco,31,30,8,DAP
25.8,84.7,41.1,Clayey,Barley,6,11,25,10-26-26
24.2,49.3,60.7,Black,Cotton,13,33,35,Urea
36.5,36.0,34.3,Clayey,Maize,14,43,40,Urea
23.8,49.4,37.9,Clayey,Wheat,8,31,20,Urea
23.0,76.8,46.5,Clayey,Millets,39,45,6,DAP
25.9,42.2,43.5,Clayey,Pulses,44,20,27,17-17-17
32.6,39.3,66.9,Red,Cotton,9,39,38,Urea
30.9,54.5,45.2,Clayey,Oil seeds,45,28,29,10-26-26
27.7,38.4,35.4,Black,Maize,45,42,11,DAP
22.7,62.3,60.0,Black,Cotton,16,35,34,10-26-26
23.0,73.8,44.7,Loamy,Cotton,23,7,17,10-26-26
27.0,50.5,42.1,Loamy,Maize,39,21,35,Urea
27.7,74.0,62.2,Loamy,Paddy,26,12,22,10-26-26
36.2,72.2,63.5,Black,Wheat,29,16,26,28-28
36.8,61.0,59.4,Red,Barley,32,32,10,DAP
30.7,51.1,28.4,Clayey,Cotton,23,33,24,10-26-26
24.7,57.2,44.2,Clayey,Wheat,27,32,44,10-26-26
37.7,82.4,28.2,Black,Ground Nuts,45,28,30,10-26-26
24.6,36.6,61.5,Clayey,Ground Nuts,33,13,7,DAP
34.5,53.3,41.5,Sandy,Tobacco,41,43,7,DAP
29.2,53.5,44.1,Loamy,Ground Nuts,9,13,41,14-35-14
28.4,67.5,35.7,Clayey,Barley,12,16,6,28-28
36.6,40.9,58.3,Clayey,Wheat,33,44,18,14-35-14
24.0,77.6,44.4,Red,Tobacco,33,25,10,DAP
30.8,49.5,37.9,Black,Sugarcane,15,16,45,10-26-26
25.6,84.3,59.1,Black,Oil seeds,20,6,36,14-35-14
31.2,58.4,67.3,Black,Oil seeds,13,10,44,14-35-14
28.4,70.8,45.6,Sandy,Paddy,31,41,31,10-26-26
37.6,67.1,44.3,Sandy,Cotton,38,13,27,14-35-14
31.4,73.4,30.5,Clayey,Ground Nuts,37,12,8,DAP
26.9,43.1,65.2,Clayey,Cotton,19,38,27,10-26-26
26.0,66.8,48.7,Black,Sugarcane,13,24,45,Urea
23.5,67.0,50.4,Clayey,Oil seeds,42,15,14,DAP
27.4,81.2,26.8,Clayey,Pulses,6,7,10,17-17-17
32.4,73.3,42.9,Clayey,Paddy,45,36,6,DAP
32.3,50.1,35.5,Clayey,Paddy,30,34,24,10-26-26
24.5,55.8,45.0,Sandy,Maize,26,14,43,14-35-14
33.7,78.0,66.9,Black,Barley,13,37,28,Urea
27.1,58.3,36.5,Clayey,Sugarcane,20,11,14,DAP
37.1,78.2,43.0,Sandy,Paddy,15,41,25,10-26-26
34.2,59.9,47.1,Black,Tobacco,36,36,24,10-26-26
37.1,60.3,66.6,Sandy,Sugarcane,18,27,42,10-26-26
26.5,64.9,61.2,Sandy,Maize,35,39,23,10-26-26
28.9,79.1,56.3,Sandy,Sugarcane,30,7,28,14-35-14
31.1,44.7,48.8,Red,Maize,9,37,29,Urea
26.5,84.5,54.3,Red,Oil seeds,12,11,13,17-17-17
34.7,52.0,65.4,Red,Barley,14,43,17,Urea
30.0,37.3,30.9,Clayey,Wheat,26,38,35,10-26-26
31.7,60.8,39.1,Red,Cotton,44,15,25,28-28
31.5,60.4,46.9,Clayey,Paddy,36,24,41,28-28
27.3,40.5,42.9,Sandy,Barley,24,6,45,14-35-14
26.2,67.8,66.8,Clayey,Millets,42,19,41,20-20
29.7,61.2,56.0,Sandy,Pulses,29,20,14,DAP
37.2,40.5,25.8,Sandy,Pulses,25,14,31,14-35-14
28.6,73.7,64.6,Red,Tobacco,8,38,13,DAP
38.0,58.9,41.2,Clayey,Barley,16,39,34,10-26-26
27.7,73.6,56.0,Black,Oil seeds,21,35,44,10-26-26
26.5,49.9,65.5,Loamy,Tobacco,24,18,23,20-20
29.7,63.0,65.2,Red,Barley,22,12,23,17-17-17
36.3,54.7,39.8,Clayey,Wheat,14,7,23,14-35-14
36.8,67.8,57.1,Sandy,Barley,18,39,17,14-35-14
24.2,65.8,50.2,Clayey,Paddy,20,38,8,DAP
25.7,40.0,39.2,Loamy,Ground Nuts,35,13,11,DAP
37.6,42.9,53.1,Sandy,Oil seeds,35,17,35,10-26-26
26.6,38.0,58.1,Black,Barley,41,39,19,20-20
28.7,76.9,65.2,Sandy,Cotton,7,36,30,Urea
36.0,35.5,49.4,Loamy,Paddy,11,23,26,Urea
30.7,59.7,65.4,Red,Ground Nuts,37,22,34,DAP
24.6,57.9,36.1,Sandy,Barley,16,26,5,DAP
32.8,44.7,51.3,Black,Pulses,45,32,30,10-26-26
23.4,68.5,32.9,Clayey,Barley,13,25,35,Urea
26.2,46.8,57.4,Loamy,Maize,26,42,24,10-26-26
26.2,53.0,35.2,Clayey,Maize,12,24,34,Urea
33.0,81.2,63.2,Loamy,Wheat,24,45,12,DAP
31.8,46.0,30.7,Black,Barley,14,43,34,Urea
33.2,80.6,57.6,Black,Wheat,18,43,20,10-26-26
29.1,70.2,28.4,Sandy,Oil seeds,41,8,12,DAP
25.2,61.8,32.1,Clayey,Oil seeds,38,12,33,14-35-14
29.8,79.9,44.2,Loamy,Pulses,8,13,34,14-35-14
29.3,37.9,44.9,Clayey,Wheat,24,30,6,DAP
33.9,63.9,26.9,Black,Maize,27,39,9,DAP
37.8,58.6,37.3,Sandy,Sugarcane,16,31,13,DAP
29.2,80.9,41.2,Black,Wheat,10,13,39,14-35-14
24.9,61.9,47.7,Black,Sugarcane,19,6,5,DAP
32.8,62.2,47.9,Black,Millets,19,34,20,14-35-14
25.0,78.8,57.9,Loamy,Paddy,7,44,31,Urea
25.3,40.0,26.4,Sandy,Tobacco,43,20,8,DAP
29.0,62.0,57.4,Sandy,Wheat,8,37,13,14-35-14
27.1,64.9,53.9,Loamy,Pulses,25,24,20,20-20
30.3,55.7,36.8,Loamy,Ground Nuts,40,16,42,20-20
29.9,83.6,65.5,Red,Oil seeds,29,25,38,20-20
24.4,53.8,57.4,Red,Wheat,35,19,20,14-35-14
36.6,63.1,66.6,Loamy,Millets,40,13,38,14-35-14
26.1,51.5,28.4,Red,Tobacco,33,10,28,14-35-14
22.8,53.9,51.0,Clayey,Tobacco,7,17,9,10-26-26
30.9,59.0,62.4,Clayey,Ground Nuts,26,5,24,DAP
34.0,72.7,64.3,Loamy,Sugarcane,43,30,18,DAP
34.4,54.0,47.9,Clayey,Barley,27,21,24,20-20
36.1,58.3,59.5,Black,Oil seeds,35,18,25,14-35-14
22.7,78.2,56.9,Black,Wheat,6,40,21,Urea
33.5,49.8,33.4,Clayey,Pulses,19,41,29,10-26-26
30.8,82.2,39.5,Loamy,Millets,36,34,36,20-20
24.7,71.0,46.0,Loamy,Barley,39,38,8,DAP
37.1,68.4,57.9,Sandy,Sugarcane,31,45,13,DAP
33.3,35.5,46.7,Loamy,Sugarcane,28,44,8,DAP
32.5,35.8,47.9,Clayey,Millets,31,6,5,DAP
30.6,49.3,46.6,Clayey,Paddy,32,11,16,Urea
25.9,66.0,35.9,Clayey,Cotton,27,30,22,10-26-26
37.3,57.9,35.5,Sandy,Barley,19,10,24,20-20
28.5,53.9,45.5,Sandy,Sugarcane,45,15,5,DAP
35.5,67.2,39.2,Sandy,Millets,11,7,38,14-35-14
36.4,69.6,49.4,Loamy,Tobacco,22,9,7,DAP
31.0,36.6,64.9,Black,Oil seeds,25,18,6,DAP
34.0,70.6,42.1,Clayey,Cotton,9,15,24,Urea
31.1,77.5,54.1,Clayey,Tobacco,39,29,26,10-26-26
30.0,83.7,27.3,Loamy,Sugarcane,32,9,19,14-35-14
37.3,54.8,58.3,Clayey,Pulses,6,22,45,Urea
25.7,62.7,41.1,Red,Millets,16,29,42,10-26-26
26.7,47.3,28.2,Sandy,Pulses,22,29,14,DAP
27.1,40.3,25.2,Loamy,Wheat,24,28,33,10-26-26
24.1,44.4,44.3,Black,Sugarcane,40,31,37,10-26-26
23.4,62.7,50.7,Sandy,Maize,25,5,29,14-35-14
28.2,39.2,63.7,Black,Wheat,20,38,41,10-26-26
28.1,41.9,37.9,Loamy,Ground Nuts,36,9,14,DAP
26.4,50.0,58.7,Loamy,Wheat,28,20,21,20-20
31.9,57.9,30.8,Red,Pulses,5,26,30,Urea
34.9,51.5,39.4,Clayey,Wheat,43,24,13,DAP
37.2,45.0,38.5,Black,Pulses,30,23,25,20-20
34.5,51.3,37.1,Red,Pulses,30,12,28,14-35-14
31.5,62.3,54.3,Clayey,Tobacco,40,34,6,DAP
34.8,76.6,28.0,Loamy,Millets,31,13,36,14-35-14
26.0,42.7,43.2,Black,Tobacco,29,33,9,DAP
31.3,61.7,64.7,Clayey,Millets,31,7,39,14-35-14
31.5,80.7,29.7,Black,Oil seeds,20,15,27,20-20
31.0,67.3,52.8,Clayey,Maize,26,11,32,14-35-14
26.1,60.5,47.3,Sandy,Sugarcane,42,19,41,28-28
29.4,69.0,54.7,Black,Wheat,14,6,27,14-35-14
26.7,81.0,28.7,Red,Sugarcane,14,24,27,Urea
34.5,61.1,40.0,Black,Millets,11,33,33,Urea
26.8,75.5,29.9,Black,Sugarcane,26,15,11,DAP
24.8,43.0,49.1,Loamy,Oil seeds,34,30,19,20-20
32.2,56.6,26.3,Loamy,Cotton,44,33,17,17-17-17
22.1,45.7,37.0,Red,Wheat,9,11,41,14-35-14
27.9,44.9,29.9,Clayey,Cotton,36,45,38,10-26-26
28.2,54.6,29.9,Black,Pulses,27,44,34,10-26-26
33.3,49.9,51.4,Loamy,Ground Nuts,10,25,13,Urea
23.9,53.7,31.1,Loamy,Paddy,29,43,31,10-26-26
28.1,44.3,52.3,Loamy,Pulses,16,15,40,28-28
25.0,77.1,51.6,Black,Cotton,27,36,5,DAP
35.0,83.2,46.7,Loamy,Tobacco,36,36,31,20-20
29.8,39.1,26.3,Red,Millets,19,7,23,14-35-14
26.6,74.0,49.3,Loamy,Oil seeds,36,37,40,20-20
23.8,73.8,60.4,Sandy,Pulses,28,7,39,14-35-14
25.5,56.3,56.6,Red,Oil seeds,20,7,24,28-28
35.8,39.3,62.2,Black,Barley,12,18,20,Urea
35.8,65.5,43.4,Clayey,Barley,44,18,13,DAP
31.1,61.6,50.7,Loamy,Maize,15,23,25,14-35-14
37.2,60.7,63.7,Clayey,Paddy,11,31,13,Urea
24.0,78.3,35.7,Black,Ground Nuts,25,30,20,28-28
32.1,66.4,41.1,Loamy,Pulses,9,10,45,14-35-14
34.0,69.7,62.7,Red,Oil seeds,34,25,36,17-17-17
33.7,57.9,53.6,Sandy,Sugarcane,27,39,9,DAP
37.5,76.2,46.3,Red,Tobacco,25,26,23,20-20
24.1,77.6,58.9,Clayey,Pulses,8,11,7,17-17-17
24.0,77.9,44.0,Red,Maize,5,17,32,Urea
26.8,78.7,62.7,Loamy,Ground Nuts,10,21,28,Urea
32.6,67.4,27.2,Sandy,Barley,45,19,24,28-28
22.0,58.8,30.7,Sandy,Sugarcane,19,33,38,10-26-26
33.1,75.9,67.5,Sandy,Maize,32,35,13,DAP
28.1,71.5,29.4,Sandy,Tobacco,25,24,28,20-20
34.4,72.7,30.7,Loamy,Wheat,14,38,9,17-17-17
32.4,57.0,56.1,Sandy,Pulses,45,31,14,DAP
29.1,45.9,63.6,Clayey,Ground Nuts,13,42,12,20-20
37.4,50.7,31.0,Red,Barley,22,20,10,DAP
31.6,65.4,58.5,Clayey,Pulses,6,18,24,Urea
30.2,72.4,37.7,Clayey,Pulses,8,36,20,Urea
25.9,66.9,28.1,Red,Sugarcane,5,25,28,Urea
35.8,63.4,40.7,Loamy,Wheat,16,9,35,14-35-14
23.1,48.1,26.7,Sandy,Pulses,8,37,30,Urea
33.4,73.4,43.2,Black,Ground Nuts,30,45,10,DAP
31.9,48.9,38.3,Clayey,Oil seeds,37,14,18,17-17-17
31.4,73.2,52.9,Black,Wheat,9,32,24,Urea
25.9,81.2,30.0,Loamy,Maize,44,8,43,14-35-14
33.9,72.0,30.1,Black,Ground Nuts,13,15,5,28-28
30.3,76.1,36.1,Black,Oil seeds,28,22,13,DAP
27.4,56.5,47.5,Sandy,Maize,21,45,41,10-26-26
29.3,53.0,46.5,Sandy,Millets,41,28,15,DAP
36.3,68.7,30.0,Black,Sugarcane,37,7,5,DAP
22.7,53.2,64.6,Sandy,Tobacco,16,40,7,DAP
27.1,55.8,56.0,Red,Tobacco,22,41,9,DAP
30.0,80.1,32.7,Black,Sugarcane,38,30,7,DAP
35.9,73.7,38.4,Sandy,Millets,10,34,40,Urea
25.2,63.2,38.1,Sandy,Barley,44,34,20,14-35-14
38.0,73.8,56.5,Clayey,Millets,39,14,20,Urea
25.7,52.3,61.1,Red,Maize,5,5,26,14-35-14
23.7,61.5,35.2,Red,Paddy,36,14,8,DAP
22.7,46.6,61.4,Black,Sugarcane,31,34,28,10-26-26
23.5,41.7,60.3,Sandy,Pulses,9,41,42,Urea
32.6,41.5,37.5,Sandy,Wheat,25,25,30,20-20
26.4,38.7,33.7,Black,Millets,42,14,11,DAP
29.2,50.7,30.2,Sandy,Cotton,27,33,18,14-35-14
35.6,39.5,59.7,Red,Paddy,24,7,43,14-35-14
24.4,70.6,66.6,Loamy,Barley,30,8,37,14-35-14
35.1,43.7,65.9,Black,Paddy,33,40,40,10-26-26
29.4,75.2,31.0,Loamy,Sugarcane,5,19,8,DAP
28.0,66.5,52.7,Loamy,Wheat,42,21,42,10-26-26
38.0,44.9,52.8,Sandy,Maize,13,26,10,Urea
22.8,81.2,43.6,Sandy,Millets,30,6,36,14-35-14
28.8,52.7,64.1,Red,Ground Nuts,22,33,22,10-26-26
31.8,65.8,52.8,Loamy,Maize,36,40,31,10-26-26
23.4,54.2,43.0,Red,Maize,38,45,20,10-26-26
37.8,74.1,40.4,Clayey,Maize,39,27,36,10-26-26
27.1,48.5,26.1,Clayey,Oil seeds,43,6,19,10-26-26
34.9,58.6,40.4,Black,Maize,42,15,19,Urea
25.9,61.7,59.0,Loamy,Ground Nuts,8,41,19,Urea
37.0,84.6,32.5,Red,Barley,20,25,42,10-26-26
22.5,70.0,65.7,Black,Pulses,41,41,14,DAP
30.7,43.8,26.6,Loamy,Millets,8,43,19,Urea
30.4,35.0,64.5,Loamy,Maize,17,26,13,DAP
23.0,42.4,55.3,Loamy,Barley,14,38,12,10-26-26
28.0,82.1,42.0,Black,Sugarcane,11,24,26,Urea
37.6,71.6,43.8,Black,Cotton,45,25,36,DAP
34.6,46.2,50.3,Clayey,Pulses,16,24,29,20-20
24.8,35.1,55.2,Black,Cotton,41,41,30,10-26-26
31.6,81.1,66.6,Sandy,Cotton,19,41,45,10-26-26
24.3,72.3,35.2,Sandy,Millets,25,45,15,Urea
22.2,45.5,54.8,Black,Millets,27,11,21,20-20
28.2,71.6,66.7,Sandy,Maize,31,29,36,10-26-26
28.0,76.4,58.9,Black,Oil seeds,41,15,19,28-28
26.7,50.9,65.9,Sandy,Maize,9,15,26,Urea
