N,P,K,temperature,humidity,ph,rainfall,label
89,36,38,23.71,82.49,6.22,258.0,Rice
71,47,40,24.99,85.15,5.95,182.51,Rice
90,50,37,27.58,82.76,6.87,238.56,Rice
96,60,39,26.13,84.88,6.95,202.43,Rice
85,55,34,20.74,74.14,6.29,261.31,Rice
92,48,44,20.25,75.49,6.38,249.64,Rice
79,33,39,20.44,84.98,6.55,203.3,Rice
75,40,39,26.09,78.36,6.6,217.64,Rice
73,47,36,22.32,77.51,7.19,237.43,Rice
74,49,39,23.15,84.76,6.7,217.63,Rice
75,46,33,19.91,87.77,7.06,227.48,Rice
84,50,49,26.5,81.79,6.02,179.97,Rice
81,42,35,22.08,77.97,7.07,267.06,Rice
79,58,40,21.55,88.39,6.62,199.9,Rice
78,41,35,26.02,89.94,5.84,255.9,Rice
74,44,38,21.54,82.49,6.07,245.67,Rice
79,46,37,22.26,85.32,6.6,201.99,Rice
80,53,34,25.06,79.65,6.63,209.49,Rice
65,36,40,24.35,78.68,6.66,178.05,Rice
79,39,38,23.82,78.86,6.25,271.42,Rice
75,53,36,25.02,88.07,5.41,208.31,Rice
84,46,41,22.19,82.65,6.34,277.07,Rice
82,50,38,22.48,80.57,6.56,221.47,Rice
82,62,42,22.88,87.1,6.24,164.87,Rice
71,34,38,23.75,89.01,6.53,228.53,Rice
86,32,40,25.63,76.39,6.86,248.05,Rice
76,52,46,24.15,83.29,6.22,206.46,Rice
86,42,40,22.51,84.22,6.53,272.51,Rice
75,46,37,22.59,83.81,6.7,203.92,Rice
86,57,41,28.39,79.2,5.9,173.94,Rice
91,52,39,24.4,77.8,7.38,240.72,Rice
80,53,41,24.26,79.14,6.59,302.07,Rice
90,59,38,21.23,81.8,6.42,274.5,Rice
66,58,39,22.63,78.25,5.74,265.01,Rice
80,38,36,22.86,88.98,6.3,183.59,Rice
78,46,31,23.56,81.38,6.68,300.91,Rice
89,46,36,30.13,82.54,6.41,235.36,Rice
81,46,38,22.33,82.17,6.18,211.25,Rice
80,46,44,17.07,86.67,6.9,163.63,Rice
77,45,35,21.76,77.86,7.1,268.95,Rice
90,53,36,22.39,84.26,5.91,261.15,Rice
78,45,42,24.81,80.86,6.86,198.36,Rice
84,52,39,24.52,77.3,6.77,229.73,Rice
71,56,17,17.89,54.2,6.5,65.59,Maize
99,31,25,23.08,64.42,5.93,90.79,Maize
77,56,20,22.88,62.55,6.17,89.42,Maize
57,37,22,22.95,63.81,6.21,90.01,Maize
71,41,20,19.27,67.96,5.35,100.24,Maize
83,50,22,27.73,72.2,5.28,65.61,Maize
70,48,21,20.08,66.41,5.82,75.63,Maize
61,40,15,19.28,72.48,5.73,124.29,Maize
83,49,17,24.64,61.07,6.26,123.2,Maize
76,57,17,22.29,77.5,5.89,111.99,Maize
86,43,21,25.51,69.45,5.41,73.89,Maize
75,47,21,22.97,55.75,6.39,93.96,Maize
84,56,22,23.87,64.61,5.37,91.24,Maize
80,50,16,18.94,72.47,6.18,95.02,Maize
78,48,22,20.75,65.77,5.97,78.28,Maize
74,49,18,26.42,58.84,6.11,78.2,Maize
95,49,23,17.65,66.97,6.64,86.03,Maize
90,43,24,29.76,62.56,5.98,106.6,Maize
96,43,18,21.5,55.69,5.74,69.74,Maize
68,47,20,27.36,58.11,6.69,81.59,Maize
77,53,16,23.62,66.27,6.45,89.14,Maize
107,42,18,20.41,61.21,5.88,102.64,Maize
95,43,17,23.91,61.23,6.52,87.84,Maize
59,60,25,20.44,62.39,6.34,89.82,Maize
85,64,19,19.85,55.44,5.83,84.3,Maize
99,43,20,22.35,73.42,7.46,76.84,Maize
72,56,22,28.31,69.19,6.02,93.66,Maize
91,54,21,25.81,73.29,6.89,94.53,Maize
75,49,23,19.79,67.68,6.0,85.23,Maize
93,49,20,18.05,70.32,6.52,117.25,Maize
74,49,20,27.45,64.43,6.34,93.92,Maize
80,44,20,25.84,57.91,6.27,74.3,Maize
92,35,18,23.61,76.06,6.17,76.47,Maize
100,36,13,23.81,61.59,5.69,95.43,Maize
80,43,16,25.19,69.65,6.15,112.5,Maize
65,35,17,22.25,66.8,6.08,90.08,Maize
62,59,19,25.98,67.5,6.43,93.35,Maize
83,53,23,23.03,70.06,6.16,106.4,Maize
69,62,19,17.82,66.0,5.86,97.41,Maize
70,44,14,20.95,48.13,5.41,96.21,Maize
87,51,17,22.25,65.07,5.62,107.35,Maize
88,46,20,23.07,50.81,6.08,74.57,Maize
65,45,25,24.45,61.1,6.49,105.79,Maize
89,48,18,24.63,67.85,6.65,94.33,Maize
90,43,23,23.03,79.63,5.86,110.84,Maize
80,42,18,21.37,68.07,6.46,76.19,Maize
77,65,25,23.8,65.37,6.26,94.0,Maize
65,45,14,23.68,69.63,5.96,108.41,Maize
63,36,20,25.75,76.89,5.97,100.98,Maize
77,46,22,24.49,54.07,6.94,105.5,Maize
70,51,21,23.23,61.25,5.86,84.42,Maize
92,52,18,24.87,45.16,6.77,58.7,Maize
73,39,16,26.11,61.83,6.37,84.1,Maize
83,48,16,25.59,61.64,5.42,78.38,Maize
96,54,18,21.28,62.85,7.24,90.53,Maize
83,56,20,21.57,63.73,6.16,84.24,Maize
86,48,22,22.14,65.65,5.2,98.54,Maize
82,55,11,29.08,64.12,6.75,69.2,Maize
85,39,18,28.52,63.77,6.31,97.85,Maize
83,49,21,30.09,64.7,6.3,100.56,Maize
91,57,21,18.74,76.53,5.63,89.34,Maize
68,47,20,23.43,68.05,7.01,91.6,Maize
75,55,23,18.47,69.28,6.55,80.34,Maize
94,46,20,21.85,65.21,5.65,63.2,Maize
97,41,17,15.51,60.63,5.54,109.43,Maize
90,42,26,25.54,62.83,4.95,119.16,Maize
61,34,23,30.21,74.79,6.48,93.72,Maize
88,54,20,22.73,64.66,5.82,80.59,Maize
57,47,17,18.87,66.36,6.9,98.57,Maize
59,40,22,19.26,63.53,6.48,70.27,Maize
79,37,18,23.42,53.95,6.42,84.51,Maize
84,49,24,22.8,62.09,6.26,92.95,Maize
78,48,17,20.28,55.28,7.07,66.14,Maize
69,42,22,21.46,73.83,5.86,88.98,Maize
67,65,16,23.39,69.54,6.41,82.02,Maize
76,48,19,25.48,80.57,5.92,64.25,Maize
76,68,17,27.65,76.84,5.92,93.33,Maize
97,44,19,20.54,58.0,5.88,66.44,Maize
78,41,20,17.42,67.42,6.62,54.89,Maize
82,57,16,27.75,68.03,5.85,83.96,Maize
84,48,21,19.45,66.29,5.49,83.13,Maize
67,42,23,25.89,69.36,5.65,80.05,Maize
92,49,26,23.66,66.44,6.05,86.8,Maize
76,53,22,19.88,55.78,5.28,92.42,Maize
64,30,21,30.38,65.06,6.62,86.03,Maize
76,55,19,23.26,67.35,5.87,99.68,Maize
75,41,21,19.52,65.3,6.2,101.09,Maize
83,47,22,26.85,69.0,6.21,65.12,Maize
65,45,18,21.8,65.5,6.46,83.74,Maize
83,48,14,19.39,64.09,5.6,93.8,Maize
96,57,19,27.17,66.14,6.03,75.6,Maize
74,44,20,22.91,65.12,6.42,102.66,Maize
89,36,12,25.39,55.53,6.09,67.25,Maize
56,52,22,20.56,46.96,5.93,90.68,Maize
60,49,19,24.25,65.94,5.71,102.75,Maize
76,47,17,20.98,58.91,6.11,110.48,Maize
61,35,24,21.73,60.42,6.72,75.72,Maize
99,53,18,29.3,60.86,6.57,89.29,Maize
93,60,20,19.99,68.32,5.86,115.0,Maize
79,45,20,18.09,58.3,6.8,74.95,Maize
29,72,83,19.98,18.89,6.85,65.88,Chickpea
55,65,79,20.89,18.01,7.57,101.75,Chickpea
33,75,80,19.3,19.96,7.6,85.48,Chickpea
50,65,77,17.33,12.97,8.53,69.07,Chickpea
37,65,80,20.12,18.62,6.95,78.43,Chickpea
42,66,84,19.64,18.37,7.7,91.83,Chickpea
41,57,81,17.92,15.84,7.65,92.48,Chickpea
40,70,85,19.26,22.1,7.64,62.49,Chickpea
47,71,83,19.91,16.62,6.57,78.01,Chickpea
31,63,81,21.4,17.69,6.58,84.55,Chickpea
51,63,79,18.92,15.33,7.69,78.89,Chickpea
44,60,78,19.98,16.15,8.34,76.1,Chickpea
42,75,75,16.26,13.85,8.06,74.58,Chickpea
65,63,80,21.21,20.91,8.54,92.18,Chickpea
50,72,82,18.07,15.26,7.3,78.4,Chickpea
35,73,82,19.03,19.86,6.61,78.16,Chickpea
32,53,79,18.72,19.93,7.68,69.86,Chickpea
58,77,81,18.56,14.98,7.08,90.99,Chickpea
58,80,78,17.22,17.18,6.24,83.33,Chickpea
38,64,75,19.67,15.83,6.6,51.38,Chickpea
39,82,84,18.21,15.7,7.58,70.12,Chickpea
43,74,83,18.75,16.49,6.77,71.83,Chickpea
37,70,82,17.7,19.89,7.14,79.89,Chickpea
32,48,82,20.01,16.34,7.34,85.26,Chickpea
24,63,82,17.02,17.49,6.49,84.76,Chickpea
39,55,83,17.8,15.28,7.42,91.59,Chickpea
29,68,81,19.94,17.25,7.08,71.82,Chickpea
40,59,71,19.55,18.71,5.88,70.0,Chickpea
46,84,80,17.81,16.53,8.12,73.64,Chickpea
32,64,77,19.08,20.15,7.49,77.58,Chickpea
37,55,82,18.78,16.54,9.22,83.09,Chickpea
32,64,83,19.07,14.02,7.85,73.42,Chickpea
58,76,78,20.82,17.04,7.81,84.95,Chickpea
31,62,83,18.4,16.09,6.73,84.34,Chickpea
60,59,80,21.02,16.74,7.57,69.48,Chickpea
44,66,82,20.68,22.08,7.65,83.36,Chickpea
41,65,81,18.46,17.24,8.09,70.03,Chickpea
51,78,79,15.72,15.68,8.08,79.87,Chickpea
30,63,82,19.72,16.42,7.08,76.18,Chickpea
30,80,79,20.73,19.94,7.9,75.78,Chickpea
44,67,77,19.39,14.54,8.01,75.45,Chickpea
42,70,79,19.78,15.95,7.82,66.64,Chickpea
41,83,76,17.88,17.93,7.41,83.61,Chickpea
44,73,83,19.51,16.42,7.7,99.1,Chickpea
38,60,83,18.72,12.55,7.81,74.75,Chickpea
39,70,80,19.96,16.03,7.61,77.5,Chickpea
47,72,77,20.53,15.83,7.78,83.77,Chickpea
58,66,78,18.87,16.29,7.78,63.94,Chickpea
29,59,82,21.47,16.69,7.2,80.8,Chickpea
51,60,80,20.36,17.9,7.41,90.11,Chickpea
12,73,78,16.15,17.92,8.12,78.73,Chickpea
49,80,83,21.36,18.38,7.35,64.08,Chickpea
37,61,86,18.64,17.15,7.63,80.54,Chickpea
56,63,80,17.79,14.26,6.93,79.73,Chickpea
35,62,75,18.78,13.89,7.76,80.92,Chickpea
25,65,77,19.38,19.58,6.17,81.25,Chickpea
38,73,80,17.77,16.26,6.82,90.86,Chickpea
40,83,79,17.84,13.87,6.22,64.26,Chickpea
42,72,75,20.24,15.93,7.39,96.22,Chickpea
48,65,77,15.67,15.46,7.17,70.23,Chickpea
38,68,79,17.92,17.24,7.57,69.2,Chickpea
54,67,80,19.96,17.37,7.87,82.97,Chickpea
33,70,76,19.06,16.83,7.18,78.81,Chickpea
21,63,80,19.14,14.84,8.06,71.44,Chickpea
49,71,78,21.56,14.51,7.85,90.11,Chickpea
33,79,79,19.33,17.42,7.22,88.21,Chickpea
47,54,83,16.41,18.97,7.98,69.19,Chickpea
35,59,79,18.44,18.46,8.09,94.06,Chickpea
34,66,74,17.69,18.83,8.27,67.76,Chickpea
34,67,80,17.69,17.75,7.02,79.96,Chickpea
45,68,78,18.74,16.72,7.08,77.51,Chickpea
55,72,79,19.95,16.23,8.0,83.8,Chickpea
38,71,75,17.21,14.51,7.39,97.43,Chickpea
62,73,81,16.2,15.81,6.83,73.89,Chickpea
38,64,74,20.02,14.75,7.44,100.84,Chickpea
30,47,79,20.55,20.82,6.56,85.07,Chickpea
35,67,87,16.65,17.41,7.58,90.96,Chickpea
40,70,78,19.3,16.21,7.67,76.4,Chickpea
43,67,83,18.82,13.35,8.06,71.04,Chickpea
33,63,84,15.7,23.18,7.93,82.33,Chickpea
39,70,81,19.87,18.01,7.35,78.13,Chickpea
38,66,83,19.79,11.02,7.69,82.05,Chickpea
39,64,83,20.32,15.35,7.54,70.38,Chickpea
26,62,82,20.33,17.93,7.74,85.26,Chickpea
33,71,82,20.03,19.28,7.72,83.61,Chickpea
50,67,77,18.66,15.41,6.89,78.65,Chickpea
32,65,74,19.22,16.9,6.81,86.69,Chickpea
49,55,77,17.75,15.02,7.8,78.16,Chickpea
37,51,81,17.04,17.02,7.47,93.71,Chickpea
26,43,80,21.6,19.38,7.43,75.18,Chickpea
48,60,81,19.66,19.02,8.96,84.02,Chickpea
34,67,74,17.86,16.08,6.99,81.62,Chickpea
31,76,80,18.89,16.24,7.39,88.35,Chickpea
31,62,79,16.88,15.26,7.01,88.84,Chickpea
42,69,82,18.69,17.68,7.24,82.75,Chickpea
34,48,79,21.03,18.75,7.88,92.46,Chickpea
40,69,78,18.43,18.13,8.02,78.71,Chickpea
35,68,81,16.73,12.31,6.97,67.89,Chickpea
34,66,78,21.08,17.55,7.48,86.32,Chickpea
28,76,79,19.91,14.76,6.37,88.28,Chickpea
23,59,17,23.25,19.22,6.03,83.38,Kidneybeans
24,64,21,18.58,21.27,5.71,80.85,Kidneybeans
25,62,19,17.32,16.48,5.66,166.22,Kidneybeans
25,66,19,20.16,22.69,5.46,133.76,Kidneybeans
25,72,21,20.15,22.95,5.82,97.05,Kidneybeans
17,67,24,16.63,18.66,5.73,107.17,Kidneybeans
22,68,19,24.27,18.4,5.53,103.32,Kidneybeans
11,65,24,20.16,22.06,5.45,90.49,Kidneybeans
18,64,23,21.66,19.38,5.75,118.36,Kidneybeans
27,79,16,17.83,19.08,5.65,117.56,Kidneybeans
26,66,19,20.52,19.93,6.12,65.71,Kidneybeans
22,83,20,19.57,20.89,5.66,140.22,Kidneybeans
7,79,15,19.35,20.74,5.82,65.95,Kidneybeans
23,83,15,20.63,20.28,5.79,106.38,Kidneybeans
17,70,25,19.57,23.04,5.44,81.99,Kidneybeans
23,78,21,19.22,21.6,5.45,121.01,Kidneybeans
26,63,18,20.84,20.73,5.69,158.39,Kidneybeans
19,64,18,22.18,21.24,5.57,138.93,Kidneybeans
29,62,14,22.92,20.23,5.86,56.65,Kidneybeans
26,57,22,20.14,19.69,5.62,123.06,Kidneybeans
21,71,25,15.72,24.83,5.72,83.43,Kidneybeans
13,65,22,19.74,24.62,5.41,105.6,Kidneybeans
13,69,22,18.92,16.39,5.74,116.82,Kidneybeans
23,76,16,22.0,23.99,5.34,113.89,Kidneybeans
17,66,21,18.74,20.25,5.71,78.72,Kidneybeans
14,72,16,21.97,22.53,5.35,88.96,Kidneybeans
28,59,18,21.39,23.17,5.65,90.96,Kidneybeans
29,80,22,20.34,19.98,5.53,118.96,Kidneybeans
23,78,21,15.89,23.7,5.5,96.3,Kidneybeans
22,82,29,21.8,21.23,5.81,128.09,Kidneybeans
19,81,20,21.49,22.93,5.78,126.87,Kidneybeans
17,62,16,21.33,23.16,5.79,147.76,Kidneybeans
20,72,16,19.02,22.99,5.87,98.55,Kidneybeans
20,54,18,22.59,22.75,5.8,107.14,Kidneybeans
21,61,22,21.28,22.58,5.59,52.07,Kidneybeans
27,63,17,22.04,20.82,5.91,121.33,Kidneybeans
25,56,23,20.83,20.86,5.73,61.49,Kidneybeans
23,58,15,15.84,23.83,5.57,144.24,Kidneybeans
17,53,16,23.56,21.29,5.59,109.9,Kidneybeans
24,75,24,19.09,18.95,5.62,112.41,Kidneybeans
15,59,21,19.96,21.67,5.55,100.14,Kidneybeans
15,74,23,14.93,19.74,5.4,89.65,Kidneybeans
20,55,17,17.29,22.01,5.71,87.86,Kidneybeans
22,62,19,24.79,24.28,5.44,126.64,Kidneybeans
25,57,22,24.41,19.35,5.52,131.34,Kidneybeans
22,71,21,21.19,18.95,5.91,135.14,Kidneybeans
19,66,15,21.54,22.74,5.69,134.01,Kidneybeans
18,71,16,20.03,21.25,5.75,96.66,Kidneybeans
20,73,18,15.6,25.1,5.98,73.59,Kidneybeans
25,62,20,20.92,21.13,5.54,88.64,Kidneybeans
15,60,19,18.1,22.96,6.0,91.4,Kidneybeans
22,70,21,20.31,23.09,5.8,74.96,Kidneybeans
26,74,17,20.21,22.97,5.66,132.72,Kidneybeans
35,60,15,20.95,23.04,5.65,142.23,Kidneybeans
12,72,18,24.91,25.59,5.55,92.16,Kidneybeans
26,63,19,20.17,17.76,5.7,88.66,Kidneybeans
18,78,16,22.38,21.04,5.64,125.66,Kidneybeans
23,71,22,19.17,20.38,5.48,85.26,Kidneybeans
38,76,15,16.4,22.56,5.81,119.62,Kidneybeans
19,65,20,20.34,17.16,5.65,84.61,Kidneybeans
22,90,21,19.22,23.44,5.8,116.4,Kidneybeans
24,83,16,21.43,19.75,5.81,82.93,Kidneybeans
18,64,22,22.67,19.11,5.71,88.16,Kidneybeans
13,65,19,26.89,22.47,5.42,91.78,Kidneybeans
27,83,15,14.84,25.34,5.78,84.19,Kidneybeans
24,45,20,21.02,23.45,5.5,108.04,Kidneybeans
15,69,17,18.96,19.61,5.83,127.36,Kidneybeans
19,67,15,19.26,21.5,6.22,78.1,Kidneybeans
29,74,20,25.02,22.34,5.78,104.57,Kidneybeans
28,75,18,16.41,21.19,5.54,104.31,Kidneybeans
28,63,19,20.26,23.3,5.25,90.73,Kidneybeans
22,76,18,14.85,22.84,5.57,76.16,Kidneybeans
17,65,18,13.92,23.39,5.95,122.19,Kidneybeans
14,65,19,21.78,22.94,5.55,107.95,Kidneybeans
23,78,22,22.31,21.77,5.98,116.14,Kidneybeans
15,78,22,18.86,20.64,5.76,117.48,Kidneybeans
22,69,25,23.1,21.98,5.89,80.09,Kidneybeans
23,81,19,17.73,20.3,5.48,86.28,Kidneybeans
18,55,20,22.63,19.78,6.0,118.67,Kidneybeans
27,61,22,17.04,23.38,5.73,119.73,Kidneybeans
13,59,21,17.44,22.53,5.43,127.1,Kidneybeans
13,71,21,18.15,22.76,5.75,92.43,Kidneybeans
14,51,21,15.72,21.79,5.65,122.88,Kidneybeans
19,64,22,21.04,22.23,5.79,67.51,Kidneybeans
25,71,16,19.42,21.52,5.67,114.25,Kidneybeans
29,75,16,21.84,24.26,5.78,133.17,Kidneybeans
33,75,20,23.03,21.89,5.7,97.11,Kidneybeans
30,60,24,21.5,18.8,5.77,53.4,Kidneybeans
24,74,18,20.45,25.51,5.6,79.43,Kidneybeans
29,82,20,22.93,24.28,5.55,93.77,Kidneybeans
28,80,21,17.64,25.57,5.59,97.52,Kidneybeans
23,79,22,21.26,22.53,5.71,119.85,Kidneybeans
5,64,20,16.88,22.37,5.66,149.79,Kidneybeans
30,63,19,19.89,20.7,5.74,86.94,Kidneybeans
14,71,21,17.85,23.39,5.57,112.23,Kidneybeans
25,66,21,18.65,21.21,5.66,87.24,Kidneybeans
19,54,18,19.3,21.09,5.65,104.36,Kidneybeans
23,73,18,16.73,19.52,5.6,97.1,Kidneybeans
16,56,18,20.61,22.79,5.59,95.58,Kidneybeans
15,66,17,21.7,18.03,5.63,113.43,Kidneybeans
22,89,21,22.68,46.95,4.38,147.08,Pigeonpeas
16,75,18,27.12,40.47,7.19,139.86,Pigeonpeas
31,74,21,29.54,52.83,4.26,141.13,Pigeonpeas
26,67,15,27.44,68.55,6.8,147.64,Pigeonpeas
26,65,14,23.08,66.85,5.58,142.2,Pigeonpeas
19,83,24,38.79,46.19,6.04,104.0,Pigeonpeas
29,58,20,22.21,41.03,5.13,131.26,Pigeonpeas
17,63,22,22.18,50.75,6.77,134.1,Pigeonpeas
16,66,23,28.67,41.73,6.19,116.43,Pigeonpeas
25,71,19,23.51,37.46,6.23,186.37,Pigeonpeas
17,71,13,24.78,47.73,5.07,121.4,Pigeonpeas
16,70,19,16.51,22.65,5.31,163.23,Pigeonpeas
4,64,18,34.64,43.48,6.11,153.74,Pigeonpeas
8,74,20,30.24,95.21,4.13,201.24,Pigeonpeas
19,70,19,25.58,41.26,6.06,103.98,Pigeonpeas
25,64,16,25.45,63.19,5.37,160.25,Pigeonpeas
16,74,22,36.94,45.99,6.33,152.44,Pigeonpeas
28,62,22,26.73,47.33,5.87,157.07,Pigeonpeas
20,69,24,32.63,58.53,5.44,122.82,Pigeonpeas
26,75,24,24.68,45.35,4.49,137.73,Pigeonpeas
26,64,21,26.75,51.99,4.88,152.06,Pigeonpeas
3,66,15,33.73,57.43,6.17,195.13,Pigeonpeas
15,81,22,26.52,61.73,4.91,124.76,Pigeonpeas
17,63,16,33.82,44.99,6.08,132.39,Pigeonpeas
10,70,14,27.36,31.68,7.39,176.84,Pigeonpeas
21,78,17,30.42,50.5,6.01,187.67,Pigeonpeas
25,70,15,22.9,46.63,5.87,115.59,Pigeonpeas
35,80,21,28.06,45.55,5.04,151.82,Pigeonpeas
22,58,21,26.92,25.21,5.11,137.09,Pigeonpeas
32,72,15,30.13,29.53,6.67,135.37,Pigeonpeas
20,78,16,20.71,41.1,6.63,103.92,Pigeonpeas
4,64,21,33.7,42.54,5.47,184.12,Pigeonpeas
9,64,20,29.95,41.98,5.83,74.85,Pigeonpeas
17,71,17,27.99,53.46,5.53,154.61,Pigeonpeas
15,66,21,28.48,41.06,5.98,170.94,Pigeonpeas
8,77,18,29.83,62.47,4.7,128.22,Pigeonpeas
19,61,25,23.42,41.43,5.96,113.44,Pigeonpeas
18,70,19,27.23,41.75,4.59,159.15,Pigeonpeas
31,68,20,31.16,32.87,7.16,155.57,Pigeonpeas
30,62,25,31.58,54.74,5.99,142.04,Pigeonpeas
28,69,14,22.11,45.87,6.05,147.8,Pigeonpeas
28,52,20,18.61,57.22,5.72,162.09,Pigeonpeas
15,78,23,30.62,46.55,6.26,128.29,Pigeonpeas
26,81,23,24.05,52.44,4.77,166.67,Pigeonpeas
23,53,16,26.28,44.49,4.83,161.17,Pigeonpeas
22,66,17,32.94,67.96,5.41,131.13,Pigeonpeas
23,65,19,31.4,25.19,6.85,151.68,Pigeonpeas
18,67,19,19.04,66.04,5.83,162.79,Pigeonpeas
26,59,21,26.36,58.26,4.1,146.53,Pigeonpeas
17,71,21,24.16,39.55,5.71,122.6,Pigeonpeas
26,65,11,25.83,35.64,4.49,112.38,Pigeonpeas
21,78,20,24.67,53.57,5.43,128.66,Pigeonpeas
14,53,18,28.49,46.94,5.47,121.13,Pigeonpeas
24,57,22,22.69,39.07,4.63,134.46,Pigeonpeas
26,72,22,30.31,34.86,5.54,126.09,Pigeonpeas
28,58,22,32.16,70.06,5.47,170.87,Pigeonpeas
34,63,15,18.3,56.65,4.29,138.33,Pigeonpeas
23,69,21,28.81,63.45,5.04,129.19,Pigeonpeas
16,74,22,29.96,62.3,4.86,199.52,Pigeonpeas
30,73,25,19.42,41.81,5.21,171.14,Pigeonpeas
14,74,24,31.18,51.51,5.01,124.09,Pigeonpeas
28,74,19,25.61,23.79,4.94,206.84,Pigeonpeas
13,69,23,21.43,50.32,6.55,149.87,Pigeonpeas
38,54,23,26.84,57.36,6.15,127.51,Pigeonpeas
22,53,21,29.19,55.76,6.65,160.53,Pigeonpeas
21,60,17,33.63,65.34,5.61,150.88,Pigeonpeas
15,77,21,37.41,37.56,5.5,156.44,Pigeonpeas
24,66,17,32.11,56.75,5.07,190.16,Pigeonpeas
28,69,20,30.47,37.76,5.82,84.93,Pigeonpeas
26,55,24,26.05,45.56,5.3,140.86,Pigeonpeas
29,48,23,29.39,33.62,4.94,199.79,Pigeonpeas
15,58,23,29.39,36.84,5.97,118.73,Pigeonpeas
27,76,21,29.51,69.23,5.8,114.04,Pigeonpeas
23,84,16,25.89,53.1,5.76,120.03,Pigeonpeas
27,86,20,23.18,29.51,6.01,182.62,Pigeonpeas
23,67,18,22.24,58.12,6.53,103.13,Pigeonpeas
30,72,24,20.99,31.71,5.68,164.58,Pigeonpeas
31,73,19,22.57,62.86,5.03,198.35,Pigeonpeas
19,80,22,27.02,41.87,5.53,162.35,Pigeonpeas
21,63,19,28.09,22.56,6.17,120.11,Pigeonpeas
14,54,14,20.92,39.59,7.36,133.72,Pigeonpeas
22,71,20,27.31,33.76,6.96,203.72,Pigeonpeas
10,59,19,22.88,54.17,5.22,214.45,Pigeonpeas
28,69,23,33.23,41.33,5.15,151.84,Pigeonpeas
26,69,15,23.69,47.21,5.74,208.68,Pigeonpeas
12,72,24,39.06,43.25,6.19,166.59,Pigeonpeas
22,67,21,15.04,56.28,5.9,142.83,Pigeonpeas
33,62,18,37.66,38.12,5.36,145.09,Pigeonpeas
26,69,16,25.04,40.81,5.74,162.28,Pigeonpeas
23,53,23,28.96,64.71,6.16,182.54,Pigeonpeas
23,78,21,27.21,75.37,6.51,166.71,Pigeonpeas
13,57,20,28.43,40.73,5.91,197.16,Pigeonpeas
25,58,19,23.68,43.45,5.47,135.17,Pigeonpeas
13,66,18,13.05,72.74,6.67,138.21,Pigeonpeas
21,58,25,37.19,49.98,6.62,154.76,Pigeonpeas
