N,P,K,temperature,humidity,ph,rainfall,soil_type,category,growth_duration_days,water_requirement,sunlight_hours,label
73,46,38,24.2,91.26,5.65,250.59,Alluvial,Cereal,110,Very High,6.7,Rice
88,48,35,22.21,84.72,6.11,236.49,Clayey,Cereal,120,Very High,6.6,Rice
97,51,31,24.47,79.35,6.74,206.22,Alluvial,Cereal,119,Very High,7.3,Rice
86,40,38,22.81,79.39,7.11,242.15,Alluvial,Cereal,112,Very High,7.6,Rice
96,54,33,22.79,87.07,6.12,243.31,Alluvial,Cereal,124,Very High,6.4,Rice
79,28,35,23.37,77.01,7.05,187.1,Alluvial,Cereal,117,Very High,7.1,Rice
91,39,44,24.03,78.07,6.58,235.97,Loamy,Cereal,116,Very High,7.0,Rice
76,48,42,27.97,77.05,7.25,171.44,Clayey,Cereal,119,Very High,7.4,Rice
82,44,39,22.77,79.64,6.74,240.71,Loamy,Cereal,115,Very High,7.5,Rice
82,52,42,21.93,79.76,6.7,248.31,Alluvial,Cereal,119,Very High,7.1,Rice
90,44,42,23.49,81.13,6.84,254.76,Loamy,Cereal,124,Very High,7.8,Rice
80,52,38,24.81,81.48,6.44,247.85,Clayey,Cereal,115,Very High,8.3,Rice
71,40,44,25.98,84.5,6.65,229.63,Clayey,Cereal,114,Very High,7.0,Rice
74,53,39,21.94,80.71,6.57,213.09,Alluvial,Cereal,115,Very High,7.1,Rice
81,44,38,24.58,76.21,5.84,208.45,Loamy,Cereal,118,Very High,7.2,Rice
91,53,39,23.95,77.99,6.39,221.34,Loamy,Cereal,121,Very High,6.5,Rice
84,57,39,25.0,84.76,6.24,236.72,Loamy,Cereal,120,Very High,7.1,Rice
73,48,41,27.63,85.84,7.26,206.98,Clayey,Cereal,125,Very High,7.1,Rice
97,43,36,22.5,73.5,6.19,207.23,Clayey,Cereal,120,Very High,7.2,Rice
95,53,37,21.75,83.97,5.87,284.94,Loamy,Cereal,127,Very High,6.7,Rice
66,56,39,27.09,75.62,6.16,230.16,Clayey,Cereal,120,Very High,6.7,Rice
84,41,39,24.3,84.06,6.68,196.26,Clayey,Cereal,110,Very High,7.8,Rice
82,43,46,24.29,86.72,6.43,291.82,Loamy,Cereal,130,Very High,6.9,Rice
87,51,45,21.59,84.74,6.82,177.24,Clayey,Cereal,112,Very High,5.8,Rice
77,52,46,24.19,88.51,5.85,178.9,Loamy,Cereal,119,Very High,7.2,Rice
79,35,39,20.74,84.68,6.55,201.8,Loamy,Cereal,116,Very High,6.4,Rice
79,53,36,25.26,79.88,6.08,226.79,Alluvial,Cereal,113,Very High,6.7,Rice
70,59,40,22.25,82.86,6.36,223.37,Loamy,Cereal,123,Very High,7.5,Rice
75,44,38,18.25,75.94,6.95,279.35,Clayey,Cereal,118,Very High,7.3,Rice
82,66,44,23.68,78.18,5.76,236.1,Alluvial,Cereal,115,Very High,6.1,Rice
74,41,46,26.2,81.97,6.99,232.32,Loamy,Cereal,114,Very High,7.9,Rice
84,41,39,21.81,76.47,6.77,287.28,Alluvial,Cereal,111,Very High,7.3,Rice
74,45,37,21.84,82.19,6.07,238.11,Clayey,Cereal,119,Very High,6.9,Rice
72,44,43,25.25,78.09,6.44,252.54,Loamy,Cereal,109,Very High,7.3,Rice
74,51,36,19.49,75.49,6.42,237.79,Clayey,Cereal,114,Very High,7.4,Rice
66,47,35,22.37,82.19,6.06,218.46,Alluvial,Cereal,126,Very High,6.7,Rice
86,41,42,27.6,72.11,6.08,247.31,Loamy,Cereal,118,Very High,7.2,Rice
75,48,39,26.92,83.02,6.54,217.64,Alluvial,Cereal,117,Very High,6.7,Rice
83,45,41,29.19,85.48,6.27,266.04,Alluvial,Cereal,117,Very High,5.8,Rice
71,36,38,24.05,88.71,6.53,223.43,Loamy,Cereal,124,Very High,5.7,Rice
81,52,34,26.86,83.35,6.23,248.98,Alluvial,Cereal,133,Very High,7.1,Rice
81,45,36,26.08,78.58,6.43,215.67,Clayey,Cereal,122,Very High,7.2,Rice
88,44,38,21.55,80.22,6.55,252.71,Alluvial,Cereal,114,Very High,7.5,Rice
90,50,47,22.07,77.02,5.69,274.88,Clayey,Cereal,123,Very High,7.0,Rice
82,41,49,24.32,82.44,6.69,244.43,Clayey,Cereal,121,Very High,6.5,Rice
83,59,45,27.98,79.96,6.0,226.23,Alluvial,Cereal,120,Very High,7.7,Rice
73,54,34,18.3,48.93,6.14,84.88,Loamy,Cereal,130,Medium,6.7,Wheat
77,42,41,18.77,45.98,6.7,71.73,Alluvial,Cereal,112,Medium,7.5,Wheat
87,49,42,22.65,53.39,6.36,105.88,Loamy,Cereal,130,Medium,7.5,Wheat
89,46,34,17.89,51.72,6.79,68.48,Loamy,Cereal,125,Medium,7.6,Wheat
87,54,24,22.56,62.48,5.97,70.89,Loamy,Cereal,127,Medium,6.7,Wheat
82,38,42,22.12,62.63,7.09,61.45,Alluvial,Cereal,126,Medium,7.8,Wheat
77,49,34,18.45,59.27,6.98,70.67,Alluvial,Cereal,137,Medium,6.9,Wheat
96,48,33,20.41,47.49,7.17,72.78,Alluvial,Cereal,126,Medium,8.1,Wheat
82,36,28,21.2,47.32,7.5,50.02,Clayey,Cereal,141,Medium,7.6,Wheat
89,41,36,19.39,61.62,6.85,76.8,Alluvial,Cereal,127,Medium,7.5,Wheat
93,34,29,21.58,56.03,6.73,75.22,Loamy,Cereal,132,Medium,7.2,Wheat
82,46,31,20.64,44.78,7.21,80.67,Alluvial,Cereal,131,Medium,8.1,Wheat
106,51,27,15.92,51.25,6.81,81.21,Alluvial,Cereal,125,Medium,7.6,Wheat
82,41,29,16.91,46.89,6.41,87.64,Loamy,Cereal,123,Medium,9.1,Wheat
94,46,31,21.46,51.55,6.85,105.72,Clayey,Cereal,129,Medium,8.2,Wheat
82,44,42,17.74,65.87,7.08,68.25,Alluvial,Cereal,134,Medium,8.1,Wheat
96,35,32,18.81,54.55,7.05,77.13,Clayey,Cereal,121,Medium,7.7,Wheat
96,48,39,21.83,57.76,6.77,55.07,Clayey,Cereal,132,Medium,7.6,Wheat
92,37,30,22.45,54.76,7.07,75.34,Clayey,Cereal,130,Medium,8.1,Wheat
84,45,33,18.28,53.14,6.89,69.26,Loamy,Cereal,138,Medium,7.0,Wheat
88,42,40,20.05,61.19,6.21,78.2,Clayey,Cereal,135,Medium,7.5,Wheat
100,41,40,25.94,52.82,6.62,92.44,Clayey,Cereal,140,Medium,7.2,Wheat
85,43,29,16.93,48.98,6.49,74.58,Loamy,Cereal,131,Medium,8.4,Wheat
80,50,34,19.36,59.05,6.35,79.59,Clayey,Cereal,131,Medium,7.8,Wheat
92,59,32,18.01,51.26,6.58,67.35,Clayey,Cereal,137,Medium,8.4,Wheat
84,40,36,17.95,58.8,6.88,56.81,Loamy,Cereal,140,Medium,8.6,Wheat
83,42,36,20.44,58.95,7.6,72.88,Loamy,Cereal,124,Medium,6.7,Wheat
82,44,42,18.05,56.34,6.79,89.26,Alluvial,Cereal,146,Medium,7.2,Wheat
85,51,37,24.67,58.5,6.66,82.09,Alluvial,Cereal,137,Medium,8.0,Wheat
95,51,39,23.37,58.89,6.73,76.76,Alluvial,Cereal,137,Medium,7.0,Wheat
93,42,35,23.08,56.15,6.82,58.68,Clayey,Cereal,134,Medium,7.9,Wheat
111,43,35,20.2,64.46,6.76,78.35,Clayey,Cereal,133,Medium,7.6,Wheat
85,46,39,16.63,55.8,6.52,89.34,Clayey,Cereal,120,Medium,7.2,Wheat
93,54,34,17.95,66.29,6.22,48.61,Loamy,Cereal,132,Medium,7.2,Wheat
79,49,35,17.92,47.32,7.15,82.8,Clayey,Cereal,129,Medium,8.6,Wheat
79,35,32,19.37,56.46,6.7,79.22,Alluvial,Cereal,121,Medium,8.4,Wheat
89,51,36,20.78,58.42,6.98,82.71,Loamy,Cereal,138,Medium,7.6,Wheat
97,44,40,17.61,65.81,6.78,57.83,Loamy,Cereal,130,Medium,7.1,Wheat
98,41,33,14.21,52.29,5.83,55.99,Loamy,Cereal,134,Medium,8.0,Wheat
94,39,34,19.49,48.05,7.4,85.53,Alluvial,Cereal,128,Medium,7.5,Wheat
92,32,34,17.59,48.99,6.69,96.57,Alluvial,Cereal,134,Medium,7.2,Wheat
95,53,38,19.67,51.12,7.08,79.72,Alluvial,Cereal,135,Medium,7.9,Wheat
100,41,40,20.05,67.45,6.52,95.83,Loamy,Cereal,131,Medium,7.1,Wheat
85,43,36,20.96,51.56,6.79,100.71,Loamy,Cereal,141,Medium,7.8,Wheat
90,45,37,16.64,53.46,6.13,79.79,Clayey,Cereal,134,Medium,7.2,Wheat
105,37,29,20.13,61.28,7.47,69.49,Clayey,Cereal,137,Medium,7.5,Wheat
88,50,37,15.09,63.86,7.35,67.49,Alluvial,Cereal,132,Medium,7.8,Wheat
92,41,32,19.43,62.04,7.02,70.55,Loamy,Cereal,135,Medium,5.8,Wheat
101,34,33,16.36,47.23,7.26,69.39,Clayey,Cereal,132,Medium,7.5,Wheat
94,45,29,22.29,52.04,6.18,69.86,Alluvial,Cereal,139,Medium,8.0,Wheat
86,42,33,25.31,57.29,6.97,87.36,Alluvial,Cereal,131,Medium,7.3,Wheat
88,44,34,21.54,55.31,7.09,74.03,Clayey,Cereal,130,Medium,6.3,Wheat
99,47,38,11.39,67.53,6.74,88.3,Alluvial,Cereal,123,Medium,7.9,Wheat
79,41,42,18.97,56.3,7.15,80.95,Loamy,Cereal,130,Medium,7.7,Wheat
114,44,35,22.44,61.63,7.27,82.66,Alluvial,Cereal,122,Medium,8.5,Wheat
78,46,31,19.32,56.97,6.93,80.06,Loamy,Cereal,140,Medium,7.8,Wheat
87,50,39,16.06,58.58,7.08,71.43,Loamy,Cereal,138,Medium,7.4,Wheat
91,43,35,16.43,46.36,7.44,64.84,Clayey,Cereal,123,Medium,6.2,Wheat
83,37,41,22.33,50.87,7.7,86.78,Clayey,Cereal,127,Medium,6.0,Wheat
112,36,28,22.36,69.64,7.35,81.77,Clayey,Cereal,133,Medium,8.0,Wheat
97,46,35,19.32,50.48,6.69,54.68,Alluvial,Cereal,129,Medium,6.9,Wheat
78,46,40,22.07,45.58,6.4,86.29,Clayey,Cereal,123,Medium,7.4,Wheat
95,39,35,15.76,51.39,6.93,55.88,Clayey,Cereal,132,Medium,7.5,Wheat
95,46,40,19.85,52.42,6.85,81.52,Alluvial,Cereal,130,Medium,7.5,Wheat
82,41,29,24.4,47.54,6.52,66.38,Clayey,Cereal,135,Medium,7.3,Wheat
102,40,36,17.16,67.87,6.32,78.72,Alluvial,Cereal,134,Medium,7.7,Wheat
88,44,35,19.09,60.78,7.68,68.31,Alluvial,Cereal,121,Medium,7.4,Wheat
115,40,41,24.2,51.68,7.03,94.54,Loamy,Cereal,127,Medium,7.4,Wheat
84,38,32,16.07,55.2,6.49,77.81,Loamy,Cereal,119,Medium,7.7,Wheat
98,33,36,22.94,47.74,7.47,80.03,Clayey,Cereal,125,Medium,7.5,Wheat
85,48,21,20.24,66.02,5.49,83.33,Alluvial,Cereal,100,Medium,7.6,Maize
92,54,21,19.72,63.1,6.81,87.13,Loamy,Cereal,117,Medium,8.2,Maize
81,46,20,22.54,69.25,6.68,73.21,Loamy,Cereal,98,Medium,6.9,Maize
85,41,13,24.17,79.96,6.2,97.58,Loamy,Cereal,105,Medium,7.9,Maize
89,46,20,23.97,60.99,6.7,82.38,Loamy,Cereal,101,Medium,8.3,Maize
71,48,19,26.26,67.85,6.19,97.27,Red,Cereal,112,Medium,8.3,Maize
80,40,16,22.08,61.34,6.11,85.85,Loamy,Cereal,107,Medium,8.0,Maize
84,48,14,20.18,64.14,5.6,94.0,Red,Cereal,113,Medium,8.7,Maize
77,56,20,21.99,61.32,6.05,79.18,Alluvial,Cereal,105,Medium,8.1,Maize
80,50,23,25.85,56.09,4.92,99.01,Red,Cereal,97,Medium,7.9,Maize
68,37,21,25.28,61.54,4.9,76.81,Loamy,Cereal,107,Medium,7.1,Maize
81,47,21,23.36,59.16,6.8,82.62,Alluvial,Cereal,104,Medium,7.4,Maize
75,42,19,28.14,56.77,5.39,107.07,Alluvial,Cereal,103,Medium,7.6,Maize
90,44,25,25.03,62.07,7.28,75.91,Red,Cereal,108,Medium,8.2,Maize
93,57,20,20.74,67.76,5.86,115.2,Alluvial,Cereal,105,Medium,7.8,Maize
81,39,17,26.6,61.06,5.68,93.05,Red,Cereal,111,Medium,8.4,Maize
89,43,15,27.5,63.06,6.07,104.92,Alluvial,Cereal,107,Medium,8.3,Maize
101,44,22,23.17,66.61,6.96,92.62,Red,Cereal,107,Medium,8.6,Maize
76,42,16,17.1,77.34,5.65,81.68,Loamy,Cereal,103,Medium,8.2,Maize
88,53,18,22.5,66.7,6.08,109.11,Red,Cereal,107,Medium,8.4,Maize
86,55,20,19.11,67.4,5.87,77.07,Red,Cereal,108,Medium,8.7,Maize
80,49,25,23.72,80.61,6.48,58.59,Loamy,Cereal,108,Medium,8.2,Maize
92,52,19,19.33,63.75,5.77,76.29,Red,Cereal,108,Medium,9.0,Maize
83,40,21,26.59,61.34,6.13,85.22,Red,Cereal,100,Medium,8.4,Maize
78,50,17,21.69,69.33,6.01,110.9,Alluvial,Cereal,102,Medium,8.1,Maize
89,39,14,18.42,72.58,5.92,123.37,Red,Cereal,102,Medium,8.1,Maize
95,60,26,26.63,71.14,6.5,96.68,Alluvial,Cereal,102,Medium,7.5,Maize
79,46,18,25.09,70.73,6.24,107.16,Loamy,Cereal,99,Medium,7.9,Maize
72,36,19,22.63,74.08,6.52,69.64,Alluvial,Cereal,114,Medium,8.7,Maize
85,46,17,21.88,71.53,7.14,108.15,Alluvial,Cereal,102,Medium,7.3,Maize
81,37,20,22.56,62.2,5.4,92.7,Loamy,Cereal,102,Medium,7.3,Maize
51,47,25,27.98,62.26,5.9,92.03,Alluvial,Cereal,99,Medium,8.2,Maize
87,55,19,22.39,59.73,5.79,81.6,Loamy,Cereal,106,Medium,8.5,Maize
71,56,19,22.94,60.52,4.99,98.26,Red,Cereal,108,Medium,7.8,Maize
80,51,15,21.41,69.77,5.57,89.4,Red,Cereal,97,Medium,8.3,Maize
79,38,23,20.8,60.14,6.3,102.23,Alluvial,Cereal,99,Medium,8.0,Maize
84,52,20,21.9,60.03,6.24,68.92,Red,Cereal,89,Medium,8.3,Maize
89,33,16,24.86,77.34,6.21,74.08,Loamy,Cereal,104,Medium,8.8,Maize
73,43,18,20.14,65.74,7.01,89.85,Red,Cereal,103,Medium,7.8,Maize
64,53,19,22.46,84.16,6.35,73.72,Loamy,Cereal,102,Medium,8.7,Maize
81,39,22,21.0,76.24,6.74,78.29,Red,Cereal,111,Medium,8.0,Maize
88,50,17,21.07,71.18,6.03,78.95,Alluvial,Cereal,99,Medium,8.3,Maize
100,41,20,27.24,64.52,6.43,69.06,Red,Cereal,107,Medium,7.9,Maize
89,55,27,24.74,66.95,6.3,79.7,Red,Cereal,106,Medium,7.8,Maize
81,55,16,26.42,72.9,6.14,53.17,Red,Cereal,101,Medium,8.8,Maize
79,42,18,25.52,68.28,6.08,79.5,Loamy,Cereal,102,Medium,7.4,Maize
96,46,23,27.56,70.99,5.98,91.06,Loamy,Cereal,104,Medium,7.5,Maize
83,40,23,21.61,66.21,6.34,81.12,Alluvial,Cereal,108,Medium,7.7,Maize
88,39,20,28.82,59.0,5.86,92.71,Loamy,Cereal,105,Medium,8.2,Maize
84,51,23,24.23,63.55,6.54,113.5,Red,Cereal,104,Medium,7.4,Maize
91,47,13,25.54,61.79,6.15,89.98,Red,Cereal,106,Medium,8.4,Maize
75,51,19,25.22,68.69,5.73,101.29,Loamy,Cereal,102,Medium,8.5,Maize
83,59,19,21.95,64.88,6.05,97.0,Red,Cereal,96,Medium,7.4,Maize
69,53,25,22.69,63.99,6.24,102.43,Alluvial,Cereal,100,Medium,8.1,Maize
89,51,20,26.0,48.78,6.54,75.19,Alluvial,Cereal,95,Medium,8.3,Maize
93,47,22,27.84,72.89,7.02,96.13,Loamy,Cereal,105,Medium,7.0,Maize
77,42,26,22.47,65.74,6.48,85.65,Loamy,Cereal,113,Medium,7.6,Maize
81,43,16,21.16,64.78,5.99,74.61,Alluvial,Cereal,97,Medium,8.0,Maize
64,52,20,18.63,63.14,5.82,89.79,Alluvial,Cereal,112,Medium,6.9,Maize
81,47,22,23.64,60.49,6.04,73.06,Loamy,Cereal,110,Medium,8.0,Maize
99,47,17,18.46,54.18,5.41,89.01,Loamy,Cereal,107,Medium,7.1,Maize
88,45,20,27.84,70.38,6.07,71.63,Loamy,Cereal,93,Medium,7.6,Maize
77,42,19,23.23,63.65,5.87,87.53,Red,Cereal,107,Medium,7.3,Maize
94,47,20,25.12,66.4,6.68,89.31,Loamy,Cereal,101,Medium,8.2,Maize
68,48,19,22.38,64.23,5.26,76.77,Loamy,Cereal,105,Medium,8.1,Maize
69,55,17,25.91,67.56,5.88,111.63,Red,Cereal,98,Medium,8.6,Maize
90,43,24,22.25,66.73,6.33,82.99,Alluvial,Cereal,109,Medium,8.5,Maize
62,55,15,26.1,71.76,5.65,78.84,Loamy,Cereal,99,Medium,7.9,Maize
76,52,23,27.19,61.63,6.1,59.75,Red,Cereal,100,Medium,8.6,Maize
96,40,18,22.92,66.68,5.8,91.36,Loamy,Cereal,102,Medium,8.0,Maize
69,35,28,17.73,49.56,6.85,52.41,Sandy,Cereal,118,Low,7.3,Barley
62,38,28,20.93,51.85,6.96,59.48,Alluvial,Cereal,101,Low,6.3,Barley
55,35,36,23.58,53.19,7.2,36.99,Loamy,Cereal,107,Low,6.5,Barley
60,34,28,13.05,53.74,6.57,57.39,Alluvial,Cereal,121,Low,6.4,Barley
44,33,34,22.9,43.85,7.2,50.35,Sandy,Cereal,109,Low,8.6,Barley
52,36,31,20.71,50.49,7.12,51.08,Loamy,Cereal,111,Low,6.8,Barley
69,33,31,17.93,55.63,6.98,37.27,Alluvial,Cereal,116,Low,6.5,Barley
59,32,35,12.66,65.69,7.42,57.23,Alluvial,Cereal,109,Low,7.2,Barley
69,38,32,18.22,49.01,6.94,53.05,Loamy,Cereal,116,Low,7.4,Barley
41,38,30,17.95,48.06,7.45,64.48,Sandy,Cereal,105,Low,7.2,Barley
57,28,27,20.16,54.77,7.21,62.25,Alluvial,Cereal,112,Low,6.6,Barley
68,39,33,20.97,53.54,7.14,65.7,Alluvial,Cereal,109,Low,6.5,Barley
63,31,27,17.64,46.04,6.88,36.06,Alluvial,Cereal,111,Low,7.0,Barley
58,38,33,13.98,46.19,6.69,45.6,Sandy,Cereal,114,Low,6.9,Barley
62,24,32,14.9,50.3,7.11,68.61,Alluvial,Cereal,102,Low,5.2,Barley
66,44,34,18.52,47.54,7.32,45.26,Loamy,Cereal,112,Low,7.3,Barley
73,48,31,16.73,49.87,6.29,48.05,Loamy,Cereal,107,Low,6.7,Barley
66,30,34,18.0,49.95,6.87,56.55,Alluvial,Cereal,114,Low,6.5,Barley
59,33,24,15.95,47.62,7.35,57.63,Alluvial,Cereal,111,Low,7.5,Barley
63,36,29,18.66,47.09,6.02,53.66,Loamy,Cereal,117,Low,7.6,Barley
72,41,30,18.49,46.91,6.87,61.16,Loamy,Cereal,116,Low,6.9,Barley
61,35,32,14.39,38.52,6.78,42.79,Alluvial,Cereal,107,Low,6.9,Barley
61,42,31,18.75,53.11,6.54,65.39,Loamy,Cereal,109,Low,7.4,Barley
56,27,33,18.94,45.49,6.65,66.25,Sandy,Cereal,103,Low,8.0,Barley
57,38,28,19.51,47.28,6.93,55.41,Sandy,Cereal,104,Low,7.4,Barley
60,33,26,11.59,49.04,7.97,62.85,Sandy,Cereal,109,Low,6.8,Barley
65,37,25,20.79,53.58,7.29,59.38,Sandy,Cereal,110,Low,7.4,Barley
69,33,27,18.25,57.75,6.5,40.32,Loamy,Cereal,110,Low,7.0,Barley
66,36,29,21.72,42.0,6.67,53.97,Sandy,Cereal,100,Low,6.9,Barley
78,35,30,14.85,46.92,6.85,51.82,Alluvial,Cereal,117,Low,7.3,Barley
56,36,31,20.85,57.9,6.59,46.89,Alluvial,Cereal,103,Low,6.9,Barley
68,39,29,17.2,50.76,6.67,75.9,Sandy,Cereal,101,Low,7.1,Barley
81,35,29,17.11,49.1,7.55,32.88,Alluvial,Cereal,118,Low,6.1,Barley
62,32,32,14.0,52.31,7.81,41.37,Sandy,Cereal,111,Low,6.6,Barley
68,35,27,19.22,59.02,6.92,62.2,Sandy,Cereal,102,Low,6.4,Barley
68,42,31,17.22,50.0,6.5,61.05,Sandy,Cereal,114,Low,6.7,Barley
61,36,28,17.83,60.5,6.9,51.42,Alluvial,Cereal,106,Low,7.4,Barley
63,31,35,21.55,47.0,6.25,65.08,Alluvial,Cereal,106,Low,7.5,Barley
49,39,25,19.83,50.07,6.62,50.93,Sandy,Cereal,113,Low,7.1,Barley
69,44,23,22.04,50.52,6.64,41.7,Sandy,Cereal,108,Low,7.6,Barley
63,42,24,17.97,43.74,7.15,63.87,Sandy,Cereal,107,Low,5.4,Barley
66,37,31,21.09,44.64,7.27,66.93,Sandy,Cereal,100,Low,7.2,Barley
60,34,31,16.78,46.62,7.01,44.13,Loamy,Cereal,104,Low,7.4,Barley
55,38,31,13.69,46.61,7.48,45.19,Sandy,Cereal,107,Low,7.3,Barley
71,33,27,21.56,58.69,7.39,55.85,Alluvial,Cereal,105,Low,6.5,Barley
69,37,35,19.63,42.48,7.42,45.02,Sandy,Cereal,107,Low,7.2,Barley
80,50,32,17.54,52.67,7.36,51.79,Loamy,Cereal,119,Low,7.1,Barley
68,38,31,20.1,46.91,6.78,44.0,Alluvial,Cereal,112,Low,7.5,Barley
68,43,29,19.67,44.54,6.85,61.96,Loamy,Cereal,114,Low,6.8,Barley
64,27,28,20.23,52.88,7.2,55.5,Sandy,Cereal,110,Low,6.6,Barley
70,37,31,16.68,39.23,7.44,50.21,Alluvial,Cereal,105,Low,7.4,Barley
61,40,32,19.71,43.17,7.48,57.61,Sandy,Cereal,107,Low,7.1,Barley
50,37,25,14.62,42.39,7.45,48.71,Alluvial,Cereal,118,Low,6.7,Barley
51,29,34,17.61,47.26,7.06,60.02,Alluvial,Cereal,116,Low,7.9,Barley
62,28,28,18.65,45.18,6.62,58.44,Alluvial,Cereal,109,Low,7.0,Barley
58,33,26,20.23,55.18,6.26,45.7,Loamy,Cereal,101,Low,6.6,Barley
64,27,26,15.49,51.04,7.03,47.78,Sandy,Cereal,110,Low,6.7,Barley
62,43,35,14.75,54.15,7.32,43.52,Loamy,Cereal,114,Low,7.9,Barley
56,30,34,18.68,52.76,7.14,58.91,Loamy,Cereal,102,Low,7.6,Barley
74,33,29,14.17,52.57,7.23,54.38,Sandy,Cereal,116,Low,6.8,Barley
69,29,29,17.56,51.13,6.85,53.69,Sandy,Cereal,114,Low,6.7,Barley
52,43,35,14.77,53.45,6.8,57.63,Sandy,Cereal,111,Low,6.9,Barley
58,31,26,15.92,49.66,6.71,61.82,Alluvial,Cereal,118,Low,6.7,Barley
66,37,31,18.19,53.71,7.19,42.62,Loamy,Cereal,114,Low,7.5,Barley
58,35,32,17.48,55.36,7.95,47.14,Loamy,Cereal,102,Low,7.2,Barley
70,33,35,14.65,53.46,6.76,72.19,Loamy,Cereal,120,Low,6.5,Barley
60,39,28,17.89,50.13,6.23,54.86,Loamy,Cereal,106,Low,6.7,Barley
76,28,33,17.3,48.6,7.32,58.4,Loamy,Cereal,113,Low,7.6,Barley
62,31,25,15.94,64.75,7.5,41.49,Alluvial,Cereal,102,Low,7.3,Barley
69,37,28,17.69,51.64,7.03,32.81,Sandy,Cereal,108,Low,6.5,Barley
61,44,26,29.9,47.53,7.49,49.2,Red,Cereal,87,Low,10.2,Pearl Millet
50,32,22,32.94,36.49,6.95,42.05,Red,Cereal,89,Low,9.6,Pearl Millet
50,30,22,26.6,40.7,7.01,69.27,Red,Cereal,86,Low,8.2,Pearl Millet
55,35,31,25.45,30.72,8.32,48.9,Sandy,Cereal,81,Low,9.3,Pearl Millet
38,30,25,34.23,35.92,7.25,35.75,Sandy,Cereal,86,Low,8.5,Pearl Millet
56,25,26,34.0,40.59,7.22,30.51,Loamy,Cereal,83,Low,9.0,Pearl Millet
80,24,29,34.49,43.68,8.26,48.72,Red,Cereal,86,Low,9.0,Pearl Millet
69,35,23,26.38,40.78,6.72,44.36,Loamy,Cereal,90,Low,8.7,Pearl Millet
59,30,27,23.14,38.36,7.33,57.0,Sandy,Cereal,82,Low,7.9,Pearl Millet
64,26,21,28.81,40.89,6.84,22.94,Sandy,Cereal,88,Low,9.8,Pearl Millet
65,24,24,30.98,45.59,7.6,37.66,Sandy,Cereal,85,Low,9.3,Pearl Millet
71,33,27,31.29,50.46,7.45,36.39,Sandy,Cereal,90,Low,9.4,Pearl Millet
56,27,25,32.62,43.18,7.39,62.0,Red,Cereal,89,Low,9.1,Pearl Millet
67,24,26,37.33,40.69,6.69,38.48,Loamy,Cereal,80,Low,8.5,Pearl Millet
57,22,25,34.16,36.55,8.11,50.11,Sandy,Cereal,89,Low,8.6,Pearl Millet
66,24,27,31.6,45.32,6.49,36.05,Loamy,Cereal,87,Low,8.4,Pearl Millet
63,23,27,26.69,45.31,7.58,38.03,Sandy,Cereal,87,Low,9.2,Pearl Millet
55,24,19,32.22,32.61,7.26,42.37,Loamy,Cereal,87,Low,8.8,Pearl Millet
57,33,26,32.11,44.82,6.28,52.57,Loamy,Cereal,87,Low,8.4,Pearl Millet
58,29,24,32.17,50.59,7.85,31.88,Sandy,Cereal,87,Low,9.8,Pearl Millet
